Format: p[node, period]
gamma[116, 115, 2] = 0.0
gamma[116, 115, 3] = 0.0
gamma[116, 115, 4] = 0.0
gamma[116, 115, 5] = 0.0
gamma[116, 115, 6] = 0.0
gamma[116, 115, 7] = 0.0
gamma[116, 115, 8] = 0.0
gamma[116, 115, 9] = 0.0
gamma[116, 115, 10] = 0.0
gamma[116, 115, 11] = 0.0
gamma[116, 115, 12] = 0.0
gamma[116, 115, 13] = 0.0
gamma[116, 115, 14] = 0.0
gamma[116, 115, 15] = 0.0
gamma[116, 115, 16] = 0.0
gamma[116, 115, 17] = 0.0
gamma[116, 115, 18] = 0.0
gamma[116, 115, 19] = 0.0
gamma[116, 115, 20] = 0.0
gamma[116, 115, 21] = 0.0
gamma[116, 115, 22] = 0.0
gamma[116, 115, 23] = 0.0
gamma[116, 115, 24] = 0.0
gamma[116, 117, 1] = 0.0
gamma[116, 117, 2] = 0.0
gamma[116, 117, 3] = 0.0
gamma[116, 117, 4] = 0.0
gamma[116, 117, 5] = 0.0
gamma[116, 117, 6] = 0.0
gamma[116, 117, 7] = 0.0
gamma[116, 117, 8] = 0.0
gamma[116, 117, 9] = 0.0
gamma[116, 117, 10] = 0.0
gamma[116, 117, 11] = 0.0
gamma[116, 117, 12] = 0.0
gamma[116, 117, 13] = 0.0
gamma[116, 117, 14] = 0.0
gamma[116, 117, 15] = 0.0
gamma[116, 117, 16] = 0.0
gamma[116, 117, 17] = 0.0
gamma[116, 117, 18] = 0.0
gamma[116, 117, 19] = 0.0
gamma[116, 117, 20] = 0.0
gamma[116, 117, 21] = 0.0
gamma[116, 117, 22] = 0.0
gamma[116, 117, 23] = 0.0
gamma[116, 117, 24] = 0.0
gamma[116, 119, 1] = 0.0
gamma[116, 119, 2] = 0.0
gamma[116, 119, 3] = 0.0
gamma[116, 119, 4] = 0.0
gamma[116, 119, 5] = 0.0
gamma[116, 119, 6] = 0.0
gamma[116, 119, 7] = 0.0
gamma[116, 119, 8] = 0.0
gamma[116, 119, 9] = 0.0
gamma[116, 119, 10] = 0.0
gamma[116, 119, 11] = 0.0
gamma[116, 119, 12] = 0.0
gamma[116, 119, 13] = 0.0
gamma[116, 119, 14] = 0.0
gamma[116, 119, 15] = 0.0
gamma[116, 119, 16] = 0.0
gamma[116, 119, 17] = 0.0
gamma[116, 119, 18] = 0.0
gamma[116, 119, 19] = 0.0
gamma[116, 119, 20] = 0.0
gamma[116, 119, 21] = 0.0
gamma[116, 119, 22] = 0.0
gamma[116, 119, 23] = 0.0
gamma[116, 119, 24] = 0.0
gamma[115, 116, 1] = 0.0
gamma[115, 116, 2] = 0.0
gamma[115, 116, 3] = 0.0
gamma[115, 116, 4] = 0.0
gamma[115, 116, 5] = 0.0
gamma[115, 116, 6] = 0.0
gamma[115, 116, 7] = 0.0
gamma[115, 116, 8] = 0.0
gamma[115, 116, 9] = 0.0
gamma[115, 116, 10] = 0.0
gamma[115, 116, 11] = 0.0
gamma[115, 116, 12] = 0.0
gamma[115, 116, 13] = 0.0
gamma[115, 116, 14] = 0.0
gamma[115, 116, 15] = 0.0
gamma[115, 116, 16] = 0.0
gamma[115, 116, 17] = 0.0
gamma[115, 116, 18] = 0.0
gamma[115, 116, 19] = 0.0
gamma[115, 116, 20] = 0.0
gamma[115, 116, 21] = 0.0
gamma[115, 116, 22] = 0.0
gamma[115, 116, 23] = 0.0
gamma[115, 116, 24] = 0.0
gamma[115, 121, 1] = 0.0
gamma[115, 121, 2] = 0.0
gamma[115, 121, 3] = 0.0
gamma[115, 121, 4] = 0.0
gamma[115, 121, 5] = 0.0
gamma[115, 121, 6] = 0.0
gamma[115, 121, 7] = 0.0
gamma[115, 121, 8] = 0.0
gamma[115, 121, 9] = 0.0
gamma[115, 121, 10] = 0.0
gamma[115, 121, 11] = 0.0
gamma[115, 121, 12] = 0.0
gamma[115, 121, 13] = 0.0
gamma[115, 121, 14] = 0.0
gamma[115, 121, 15] = 0.0
gamma[115, 121, 16] = 0.0
gamma[115, 121, 17] = 0.0
gamma[115, 121, 18] = 0.0
gamma[115, 121, 19] = 0.0
gamma[115, 121, 20] = 0.0
gamma[115, 121, 21] = 0.0
gamma[115, 121, 22] = 0.0
gamma[115, 121, 23] = 0.0
gamma[115, 121, 24] = 0.0
gamma[115, 124, 1] = 0.0
gamma[115, 124, 2] = 0.0
gamma[115, 124, 3] = 0.0
gamma[115, 124, 4] = 0.0
gamma[115, 124, 5] = 0.0
gamma[115, 124, 6] = 0.0
gamma[115, 124, 7] = 0.0
gamma[115, 124, 8] = 0.0
gamma[115, 124, 9] = 0.0
gamma[115, 124, 10] = 0.0
gamma[115, 124, 11] = 0.0
gamma[115, 124, 12] = 0.0
gamma[115, 124, 13] = 0.0
gamma[115, 124, 14] = 0.0
gamma[115, 124, 15] = 0.0
gamma[115, 124, 16] = 0.0
gamma[115, 124, 17] = 0.0
gamma[115, 124, 18] = 0.0
gamma[115, 124, 19] = 0.0
gamma[115, 124, 20] = 0.0
gamma[115, 124, 21] = 0.0
gamma[115, 124, 22] = 0.0
gamma[115, 124, 23] = 0.0
gamma[115, 124, 24] = 0.0
gamma[121, 115, 1] = 0.0
gamma[121, 115, 2] = 0.0
gamma[121, 115, 3] = 0.0
gamma[121, 115, 4] = 0.0
gamma[121, 115, 5] = 0.0
gamma[121, 115, 6] = 0.0
gamma[121, 115, 7] = 0.0
gamma[121, 115, 8] = 0.0
gamma[121, 115, 9] = 0.0
gamma[121, 115, 10] = 0.0
gamma[121, 115, 11] = 0.0
gamma[121, 115, 12] = 0.0
gamma[121, 115, 13] = 0.0
gamma[121, 115, 14] = 0.0
gamma[121, 115, 15] = 0.0
gamma[121, 115, 16] = 0.0
gamma[121, 115, 17] = 0.0
gamma[121, 115, 18] = 0.0
gamma[121, 115, 19] = 0.0
gamma[121, 115, 20] = 0.0
gamma[121, 115, 21] = 0.0
gamma[121, 115, 22] = 0.0
gamma[121, 115, 23] = 0.0
gamma[121, 115, 24] = 0.0
gamma[121, 118, 1] = 0.0
gamma[121, 118, 2] = 0.0
gamma[121, 118, 3] = 0.0
gamma[121, 118, 4] = 0.0
gamma[121, 118, 5] = 0.0
gamma[121, 118, 6] = 0.0
gamma[121, 118, 7] = 0.0
gamma[121, 118, 8] = 0.0
gamma[121, 118, 9] = 0.0
gamma[121, 118, 10] = 0.0
gamma[121, 118, 11] = 0.0
gamma[121, 118, 12] = 0.0
gamma[121, 118, 13] = 0.0
gamma[121, 118, 14] = 0.0
gamma[121, 118, 15] = 0.0
gamma[121, 118, 16] = 0.0
gamma[121, 118, 17] = 0.0
gamma[121, 118, 18] = 0.0
gamma[121, 118, 19] = 0.0
gamma[121, 118, 20] = 0.0
gamma[121, 118, 21] = 0.0
gamma[121, 118, 22] = 0.0
gamma[121, 118, 23] = 0.0
gamma[121, 118, 24] = 0.0
gamma[121, 122, 1] = 0.0
gamma[121, 122, 2] = 0.0
gamma[121, 122, 3] = 0.0
gamma[121, 122, 4] = 0.0
gamma[121, 122, 5] = 0.0
gamma[121, 122, 6] = 0.0
gamma[121, 122, 7] = 0.0
gamma[121, 122, 8] = 0.0
gamma[121, 122, 9] = 0.0
gamma[121, 122, 10] = 0.0
gamma[121, 122, 11] = 0.0
gamma[121, 122, 12] = 0.0
gamma[121, 122, 13] = 0.0
gamma[121, 122, 14] = 0.0
gamma[121, 122, 15] = 0.0
gamma[121, 122, 16] = 0.0
gamma[121, 122, 17] = 0.0
gamma[121, 122, 18] = 0.0
gamma[121, 122, 19] = 0.0
gamma[121, 122, 20] = 0.0
gamma[121, 122, 21] = 0.0
gamma[121, 122, 22] = 0.0
gamma[121, 122, 23] = 0.0
gamma[121, 122, 24] = 0.0
gamma[117, 116, 1] = 0.0
gamma[117, 116, 2] = 0.0
gamma[117, 116, 3] = 0.0
gamma[117, 116, 4] = 0.0
gamma[117, 116, 5] = 0.0
gamma[117, 116, 6] = 0.0
gamma[117, 116, 7] = 0.0
gamma[117, 116, 8] = 0.0
gamma[117, 116, 9] = 0.0
gamma[117, 116, 10] = 0.0
gamma[117, 116, 11] = 0.0
gamma[117, 116, 12] = 0.0
gamma[117, 116, 13] = 0.0
gamma[117, 116, 14] = 0.0
gamma[117, 116, 15] = 0.0
gamma[117, 116, 16] = 0.0
gamma[117, 116, 17] = 0.0
gamma[117, 116, 18] = 0.0
gamma[117, 116, 19] = 0.0
gamma[117, 116, 20] = 0.0
gamma[117, 116, 21] = 0.0
gamma[117, 116, 22] = 0.0
gamma[117, 116, 23] = 0.0
gamma[117, 116, 24] = 0.0
gamma[117, 118, 1] = 0.0
gamma[117, 118, 2] = 0.0
gamma[117, 118, 3] = 0.0
gamma[117, 118, 4] = 0.0
gamma[117, 118, 5] = 0.0
gamma[117, 118, 6] = 0.0
gamma[117, 118, 7] = 0.0
gamma[117, 118, 8] = 0.0
gamma[117, 118, 9] = 0.0
gamma[117, 118, 10] = 0.0
gamma[117, 118, 11] = 0.0
gamma[117, 118, 12] = 0.0
gamma[117, 118, 13] = 0.0
gamma[117, 118, 14] = 0.0
gamma[117, 118, 15] = 0.0
gamma[117, 118, 16] = 0.0
gamma[117, 118, 17] = 0.0
gamma[117, 118, 18] = 0.0
gamma[117, 118, 19] = 0.0
gamma[117, 118, 20] = 0.0
gamma[117, 118, 21] = 0.0
gamma[117, 118, 22] = 0.0
gamma[117, 118, 23] = 0.0
gamma[117, 118, 24] = 0.0
gamma[117, 122, 1] = 0.0
gamma[117, 122, 2] = 0.0
gamma[117, 122, 3] = 0.0
gamma[117, 122, 4] = 0.0
gamma[117, 122, 5] = 0.0
gamma[117, 122, 6] = 0.0
gamma[117, 122, 7] = 0.0
gamma[117, 122, 8] = 0.0
gamma[117, 122, 9] = 0.0
gamma[117, 122, 10] = 0.0
gamma[117, 122, 11] = 0.0
gamma[117, 122, 12] = 0.0
gamma[117, 122, 13] = 0.0
gamma[117, 122, 14] = 0.0
gamma[117, 122, 15] = 0.0
gamma[117, 122, 16] = 0.0
gamma[117, 122, 17] = 0.0
gamma[117, 122, 18] = 0.0
gamma[117, 122, 19] = 0.0
gamma[117, 122, 20] = 0.0
gamma[117, 122, 21] = 0.0
gamma[117, 122, 22] = 0.0
gamma[117, 122, 23] = 0.0
gamma[117, 122, 24] = 0.0
gamma[119, 116, 1] = 0.0
gamma[119, 116, 2] = 0.0
gamma[119, 116, 3] = 0.0
gamma[119, 116, 4] = 0.0
gamma[119, 116, 5] = 0.0
gamma[119, 116, 6] = 0.0
gamma[119, 116, 7] = 0.0
gamma[119, 116, 8] = 0.0
gamma[119, 116, 9] = 0.0
gamma[119, 116, 10] = 0.0
gamma[119, 116, 11] = 0.0
gamma[119, 116, 12] = 0.0
gamma[119, 116, 13] = 0.0
gamma[119, 116, 14] = 0.0
gamma[119, 116, 15] = 0.0
gamma[119, 116, 16] = 0.0
gamma[119, 116, 17] = 0.0
gamma[119, 116, 18] = 0.0
gamma[119, 116, 19] = 0.0
gamma[119, 116, 20] = 0.0
gamma[119, 116, 21] = 0.0
gamma[119, 116, 22] = 0.0
gamma[119, 116, 23] = 0.0
gamma[119, 116, 24] = 0.0
gamma[119, 120, 1] = 0.0
gamma[119, 120, 2] = 0.0
gamma[119, 120, 3] = 0.0
gamma[119, 120, 4] = 0.0
gamma[119, 120, 5] = 0.0
gamma[119, 120, 6] = 0.0
gamma[119, 120, 7] = 0.0
gamma[119, 120, 8] = 0.0
gamma[119, 120, 9] = 0.0
gamma[119, 120, 10] = 0.0
gamma[119, 120, 11] = 0.0
gamma[119, 120, 12] = 0.0
gamma[119, 120, 13] = 0.0
gamma[119, 120, 14] = 0.0
gamma[119, 120, 15] = 0.0
gamma[119, 120, 16] = 0.0
gamma[119, 120, 17] = 0.0
gamma[119, 120, 18] = 0.0
gamma[119, 120, 19] = 0.0
gamma[119, 120, 20] = 0.0
gamma[119, 120, 21] = 0.0
gamma[119, 120, 22] = 0.0
gamma[119, 120, 23] = 0.0
gamma[119, 120, 24] = 0.0
gamma[118, 117, 1] = 0.0
gamma[118, 117, 2] = 0.0
gamma[118, 117, 3] = 0.0
gamma[118, 117, 4] = 0.0
gamma[118, 117, 5] = 0.0
gamma[118, 117, 6] = 0.0
gamma[118, 117, 7] = 0.0
gamma[118, 117, 8] = 0.0
gamma[118, 117, 9] = 0.0
gamma[118, 117, 10] = 0.0
gamma[118, 117, 11] = 0.0
gamma[118, 117, 12] = 0.0
gamma[118, 117, 13] = 0.0
gamma[118, 117, 14] = 0.0
gamma[118, 117, 15] = 0.0
gamma[118, 117, 16] = 0.0
gamma[118, 117, 17] = 0.0
gamma[118, 117, 18] = 0.0
gamma[118, 117, 19] = 0.0
gamma[118, 117, 20] = 0.0
gamma[118, 117, 21] = 0.0
gamma[118, 117, 22] = 0.0
gamma[118, 117, 23] = 0.0
gamma[118, 117, 24] = 0.0
gamma[118, 121, 1] = 0.0
gamma[118, 121, 2] = 0.0
gamma[118, 121, 3] = 0.0
gamma[118, 121, 4] = 0.0
gamma[118, 121, 5] = 0.0
gamma[118, 121, 6] = 0.0
gamma[118, 121, 7] = 0.0
gamma[118, 121, 8] = 0.0
gamma[118, 121, 9] = 0.0
gamma[118, 121, 10] = 0.0
gamma[118, 121, 11] = 0.0
gamma[118, 121, 12] = 0.0
gamma[118, 121, 13] = 0.0
gamma[118, 121, 14] = 0.0
gamma[118, 121, 15] = 0.0
gamma[118, 121, 16] = 0.0
gamma[118, 121, 17] = 0.0
gamma[118, 121, 18] = 0.0
gamma[118, 121, 19] = 0.0
gamma[118, 121, 20] = 0.0
gamma[118, 121, 21] = 0.0
gamma[118, 121, 22] = 0.0
gamma[118, 121, 23] = 0.0
gamma[118, 121, 24] = 0.0
gamma[122, 117, 1] = 0.0
gamma[122, 117, 2] = 0.0
gamma[122, 117, 3] = 0.0
gamma[122, 117, 4] = 0.0
gamma[122, 117, 5] = 0.0
gamma[122, 117, 6] = 0.0
gamma[122, 117, 7] = 0.0
gamma[122, 117, 8] = 0.0
gamma[122, 117, 9] = 0.0
gamma[122, 117, 10] = 0.0
gamma[122, 117, 11] = 0.0
gamma[122, 117, 12] = 0.0
gamma[122, 117, 13] = 0.0
gamma[122, 117, 14] = 0.0
gamma[122, 117, 15] = 0.0
gamma[122, 117, 16] = 0.0
gamma[122, 117, 17] = 0.0
gamma[122, 117, 18] = 0.0
gamma[122, 117, 19] = 0.0
gamma[122, 117, 20] = 0.0
gamma[122, 117, 21] = 0.0
gamma[122, 117, 22] = 0.0
gamma[122, 117, 23] = 0.0
gamma[122, 117, 24] = 0.0
gamma[122, 121, 1] = 0.0
gamma[122, 121, 2] = 0.0
gamma[122, 121, 3] = 0.0
gamma[122, 121, 4] = 0.0
gamma[122, 121, 5] = 0.0
gamma[122, 121, 6] = 0.0
gamma[122, 121, 7] = 0.0
gamma[122, 121, 8] = 0.0
gamma[122, 121, 9] = 0.0
gamma[122, 121, 10] = 0.0
gamma[122, 121, 11] = 0.0
gamma[122, 121, 12] = 0.0
gamma[122, 121, 13] = 0.0
gamma[122, 121, 14] = 0.0
gamma[122, 121, 15] = 0.0
gamma[122, 121, 16] = 0.0
gamma[122, 121, 17] = 0.0
gamma[122, 121, 18] = 0.0
gamma[122, 121, 19] = 0.0
gamma[122, 121, 20] = 0.0
gamma[122, 121, 21] = 0.0
gamma[122, 121, 22] = 0.0
gamma[122, 121, 23] = 0.0
gamma[122, 121, 24] = 0.0
gamma[120, 119, 1] = 0.0
gamma[120, 119, 2] = 0.0
gamma[120, 119, 3] = 0.0
gamma[120, 119, 4] = 0.0
gamma[120, 119, 5] = 0.0
gamma[120, 119, 6] = 0.0
gamma[120, 119, 7] = 0.0
gamma[120, 119, 8] = 0.0
gamma[120, 119, 9] = 0.0
gamma[120, 119, 10] = 0.0
gamma[120, 119, 11] = 0.0
gamma[120, 119, 12] = 0.0
gamma[120, 119, 13] = 0.0
gamma[120, 119, 14] = 0.0
gamma[120, 119, 15] = 0.0
gamma[120, 119, 16] = 0.0
gamma[120, 119, 17] = 0.0
gamma[120, 119, 18] = 0.0
gamma[120, 119, 19] = 0.0
gamma[120, 119, 20] = 0.0
gamma[120, 119, 21] = 0.0
gamma[120, 119, 22] = 0.0
gamma[120, 119, 23] = 0.0
gamma[120, 119, 24] = 0.0
gamma[120, 123, 1] = 0.0
gamma[120, 123, 2] = 0.0
gamma[120, 123, 3] = 0.0
gamma[120, 123, 4] = 0.0
gamma[120, 123, 5] = 0.0
gamma[120, 123, 6] = 0.0
gamma[120, 123, 7] = 0.0
gamma[120, 123, 8] = 0.0
gamma[120, 123, 9] = 0.0
gamma[120, 123, 10] = 0.0
gamma[120, 123, 11] = 0.0
gamma[120, 123, 12] = 0.0
gamma[120, 123, 13] = 0.0
gamma[120, 123, 14] = 0.0
gamma[120, 123, 15] = 0.0
gamma[120, 123, 16] = 0.0
gamma[120, 123, 17] = 0.0
gamma[120, 123, 18] = 0.0
gamma[120, 123, 19] = 0.0
gamma[120, 123, 20] = 0.0
gamma[120, 123, 21] = 0.0
gamma[120, 123, 22] = 0.0
gamma[120, 123, 23] = 0.0
gamma[120, 123, 24] = 0.0
